id_nodo,distrito,lat_mean,lon_mean,count
0,SAN MARTIN DE PORRES,-11.970479978476956,-77.10662022694662,3304
1,BARRANCA,-10.797101965569096,-77.73781860863478,796
2,SAN JUAN DE MIRAFLORES,-12.134195907524017,-76.96291183001888,2710
3,QUILMANA,-12.96588092936824,-76.40895691820009,147
4,ATE,-12.070123859014736,-76.9800169440323,1542
5,SAYAN,-11.212326066418191,-77.30923613003246,44
6,SAN JUAN DE LURIGANCHO,-11.913840952322886,-76.95647353795115,2173
7,ATE,-12.02930613618664,-76.82465661626404,3170
8,MALA,-12.679208114328157,-76.64411178251059,168
9,LURIN,-12.272015811258298,-76.86881891214806,1212
10,ANCON,-11.7322283483146,-77.13723386507712,593
11,SANTA MARIA,-11.118581351988942,-77.58447317264752,1166
12,SAN ISIDRO,-12.098552881967834,-77.03500579414599,2320
13,SANTA CRUZ DE COCACHACRA,-11.917344885658983,-76.53256214451568,58
14,CARABAYLLO,-11.831811790188171,-77.07618810673281,1356
15,COMAS,-11.940233575059235,-77.04870380314594,2397
16,VILLA EL SALVADOR,-12.192147809748123,-76.9598020019313,2513
17,SAN VICENTE DE CAÑETE,-13.190401541876401,-76.33823946304113,182
18,OYON,-10.81782816832972,-76.98156249920967,15
19,LOS OLIVOS,-11.987538754311489,-77.0669933219058,3214
20,CHANCAY,-11.523783541678172,-77.28432486267766,256
21,SAN BARTOLO,-12.389102029354229,-76.77559977645308,740
22,ATE,-12.043518463416529,-76.92055715025772,1324
23,PACARAN,-12.864912564717379,-76.0435918302884,74
24,SAN ANTONIO,-11.739681443857219,-76.70418857188068,137
25,BARRANCA,-10.692267337603736,-77.77310815300109,693
26,CHORRILLOS,-12.198944544650702,-77.0252834777637,2241
27,SAN JUAN DE LURIGANCHO,-11.966490727365187,-76.98811319591813,2620
28,RIMAC,-12.016622346621077,-77.02903978807205,3080
29,SAN MIGUEL,-12.061569555451646,-77.08000606058447,628
30,SANTIAGO DE SURCO,-12.130991155555554,-77.00420403080483,3199
31,VILLA MARIA DEL TRIUNFO,-12.159321459158337,-76.88839110887992,1447
32,VILLA EL SALVADOR,-12.242913037733187,-76.92243393462732,2601
33,IMPERIAL,-13.055652751003672,-76.35112704400002,1458
34,CARABAYLLO,-11.8721408226106,-77.02364394377894,1712
35,VEGUETA,-11.011772330194928,-77.5946459881381,289
36,CHICLA,-11.635840443888776,-76.220971045821,51
37,BREÑA,-12.066216228949536,-77.0562256556475,4543
38,SANTA ANITA,-12.036976026796648,-76.96085309652037,4074
39,CARABAYLLO,-11.758874183275985,-76.97702540873264,325
